wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /data/hjhong/l2/wandb/wandb/offline-run-20260704_205945-ni4bravs
wandb: View this run in the terminal with `wandb leet`
/data/hjhong/l2/newURP/.venv-l2/lib/python3.10/site-packages/torch/nn/modules/linear.py:125: UserWarning: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:217.)
  return F.linear(input, self.weight, self.bias)
/data/hjhong/l2/newURP/.venv-l2/lib/python3.10/site-packages/torch/autograd/graph.py:823: UserWarning: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:217.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[baseline hold_position] return=0.000+-0.000 captured=0.00 wasted=0.00 clean=0.00
[baseline scripted_shaping] return=3.056+-0.009 captured=0.00 wasted=0.00 clean=0.00
[seed 1] upd 37/390 step=18944 ep_ret=1.452 cap=0.00 kl_l=0.0050 kl_f=0.0122 sps=23.6
[seed 1] upd 38/390 step=19456 ep_ret=1.574 cap=0.00 kl_l=0.0088 kl_f=0.0108 sps=23.7
[seed 1] upd 39/390 step=19968 ep_ret=1.449 cap=0.00 kl_l=0.0103 kl_f=0.0103 sps=23.7
[seed 1] upd 40/390 step=20480 ep_ret=1.499 cap=0.00 kl_l=0.0120 kl_f=0.0115 sps=23.8
  [eval] return=1.990+-0.002 captured=0.00 wasted=0.00 clean=0.00 DoD_margin=-1.067
[seed 1] upd 41/390 step=20992 ep_ret=2.074 cap=0.00 kl_l=0.0120 kl_f=0.0097 sps=23.3
[seed 1] upd 42/390 step=21504 ep_ret=2.418 cap=0.00 kl_l=0.0118 kl_f=0.0097 sps=23.4
[seed 1] upd 43/390 step=22016 ep_ret=1.900 cap=0.00 kl_l=0.0062 kl_f=0.0098 sps=23.4
[seed 1] upd 44/390 step=22528 ep_ret=2.227 cap=0.00 kl_l=0.0078 kl_f=0.0095 sps=23.5
[seed 1] upd 45/390 step=23040 ep_ret=1.851 cap=0.00 kl_l=0.0115 kl_f=0.0101 sps=23.5
[seed 1] upd 46/390 step=23552 ep_ret=1.475 cap=0.00 kl_l=0.0064 kl_f=0.0122 sps=23.6
[seed 1] upd 47/390 step=24064 ep_ret=2.097 cap=0.00 kl_l=0.0080 kl_f=0.0086 sps=23.6
[seed 1] upd 48/390 step=24576 ep_ret=1.627 cap=0.00 kl_l=0.0083 kl_f=0.0118 sps=23.6
[seed 1] upd 49/390 step=25088 ep_ret=1.976 cap=0.00 kl_l=0.0086 kl_f=0.0110 sps=23.7
[seed 1] upd 50/390 step=25600 ep_ret=1.752 cap=0.00 kl_l=0.0061 kl_f=0.0095 sps=23.7
[seed 1] upd 51/390 step=26112 ep_ret=2.324 cap=0.00 kl_l=0.0048 kl_f=0.0094 sps=23.7
[seed 1] upd 52/390 step=26624 ep_ret=1.779 cap=0.00 kl_l=0.0089 kl_f=0.0128 sps=23.7
[seed 1] upd 53/390 step=27136 ep_ret=2.254 cap=0.00 kl_l=0.0056 kl_f=0.0097 sps=23.8
[seed 1] upd 54/390 step=27648 ep_ret=2.029 cap=0.00 kl_l=0.0126 kl_f=0.0090 sps=23.8
[seed 1] upd 55/390 step=28160 ep_ret=2.258 cap=0.00 kl_l=0.0064 kl_f=0.0093 sps=23.8
[seed 1] upd 56/390 step=28672 ep_ret=1.876 cap=0.00 kl_l=0.0076 kl_f=0.0117 sps=23.9
[seed 1] upd 57/390 step=29184 ep_ret=1.876 cap=0.00 kl_l=0.0064 kl_f=0.0120 sps=23.9
[seed 1] upd 58/390 step=29696 ep_ret=2.423 cap=0.00 kl_l=0.0087 kl_f=0.0096 sps=23.9
[seed 1] upd 59/390 step=30208 ep_ret=2.171 cap=0.00 kl_l=0.0089 kl_f=0.0127 sps=23.9
[seed 1] upd 60/390 step=30720 ep_ret=1.701 cap=0.00 kl_l=0.0056 kl_f=0.0117 sps=24.0
  [eval] return=0.016+-0.005 captured=0.00 wasted=0.00 clean=0.00 DoD_margin=-3.041
[seed 1] upd 61/390 step=31232 ep_ret=2.476 cap=0.00 kl_l=0.0076 kl_f=0.0091 sps=23.6
[seed 1] upd 62/390 step=31744 ep_ret=1.800 cap=0.00 kl_l=0.0085 kl_f=0.0114 sps=23.7
[seed 1] upd 63/390 step=32256 ep_ret=1.801 cap=0.00 kl_l=0.0080 kl_f=0.0102 sps=23.7
[seed 1] upd 64/390 step=32768 ep_ret=2.010 cap=0.00 kl_l=0.0085 kl_f=0.0124 sps=23.7
[seed 1] upd 65/390 step=33280 ep_ret=1.776 cap=0.00 kl_l=0.0059 kl_f=0.0123 sps=23.7
[seed 1] upd 66/390 step=33792 ep_ret=2.450 cap=0.00 kl_l=0.0087 kl_f=0.0106 sps=23.7
[seed 1] upd 67/390 step=34304 ep_ret=2.703 cap=0.00 kl_l=0.0083 kl_f=0.0106 sps=23.8
[seed 1] upd 68/390 step=34816 ep_ret=1.602 cap=0.00 kl_l=0.0045 kl_f=0.0096 sps=23.8
[seed 1] upd 69/390 step=35328 ep_ret=2.126 cap=0.00 kl_l=0.0090 kl_f=0.0103 sps=23.8
[seed 1] upd 70/390 step=35840 ep_ret=3.179 cap=0.00 kl_l=0.0076 kl_f=0.0113 sps=23.8
[seed 1] upd 71/390 step=36352 ep_ret=2.102 cap=0.00 kl_l=0.0058 kl_f=0.0106 sps=23.8
[seed 1] upd 72/390 step=36864 ep_ret=1.818 cap=0.00 kl_l=0.0083 kl_f=0.0109 sps=23.9
[seed 1] upd 73/390 step=37376 ep_ret=1.652 cap=0.00 kl_l=0.0094 kl_f=0.0114 sps=23.9
[seed 1] upd 74/390 step=37888 ep_ret=2.028 cap=0.00 kl_l=0.0072 kl_f=0.0104 sps=23.9
[seed 1] upd 75/390 step=38400 ep_ret=2.411 cap=0.00 kl_l=0.0088 kl_f=0.0101 sps=23.9
[seed 1] upd 76/390 step=38912 ep_ret=2.330 cap=0.00 kl_l=0.0106 kl_f=0.0109 sps=23.9
[seed 1] upd 77/390 step=39424 ep_ret=1.901 cap=0.00 kl_l=0.0086 kl_f=0.0131 sps=24.0
[seed 1] upd 78/390 step=39936 ep_ret=2.229 cap=0.00 kl_l=0.0137 kl_f=0.0105 sps=24.0
[seed 1] upd 79/390 step=40448 ep_ret=1.798 cap=0.00 kl_l=0.0098 kl_f=0.0100 sps=24.0
[seed 1] upd 80/390 step=40960 ep_ret=2.501 cap=0.00 kl_l=0.0097 kl_f=0.0128 sps=24.0
  [eval] return=1.995+-0.001 captured=0.00 wasted=0.00 clean=0.00 DoD_margin=-1.062
[seed 1] upd 81/390 step=41472 ep_ret=2.423 cap=0.00 kl_l=0.0137 kl_f=0.0106 sps=23.8
[seed 1] upd 82/390 step=41984 ep_ret=2.325 cap=0.00 kl_l=0.0138 kl_f=0.0104 sps=23.8
[seed 1] upd 83/390 step=42496 ep_ret=1.601 cap=0.00 kl_l=0.0112 kl_f=0.0131 sps=23.8
[seed 1] upd 84/390 step=43008 ep_ret=2.322 cap=0.00 kl_l=0.0085 kl_f=0.0110 sps=23.8
[seed 1] upd 85/390 step=43520 ep_ret=1.848 cap=0.00 kl_l=0.0106 kl_f=0.0103 sps=23.8
[seed 1] upd 86/390 step=44032 ep_ret=1.426 cap=0.00 kl_l=0.0120 kl_f=0.0116 sps=23.8
[seed 1] upd 87/390 step=44544 ep_ret=1.348 cap=0.00 kl_l=0.0118 kl_f=0.0099 sps=23.9
[seed 1] upd 88/390 step=45056 ep_ret=1.776 cap=0.00 kl_l=0.0109 kl_f=0.0095 sps=23.9
[seed 1] upd 89/390 step=45568 ep_ret=1.576 cap=0.00 kl_l=0.0106 kl_f=0.0112 sps=23.9
[seed 1] upd 90/390 step=46080 ep_ret=2.502 cap=0.00 kl_l=0.0092 kl_f=0.0099 sps=23.9
[seed 1] upd 91/390 step=46592 ep_ret=1.749 cap=0.00 kl_l=0.0126 kl_f=0.0122 sps=23.9
[seed 1] upd 92/390 step=47104 ep_ret=1.851 cap=0.00 kl_l=0.0078 kl_f=0.0147 sps=23.9
[seed 1] upd 93/390 step=47616 ep_ret=1.867 cap=0.00 kl_l=0.0085 kl_f=0.0128 sps=24.0
[seed 1] upd 94/390 step=48128 ep_ret=2.367 cap=0.00 kl_l=0.0078 kl_f=0.0121 sps=24.0
[seed 1] upd 95/390 step=48640 ep_ret=2.154 cap=0.00 kl_l=0.0095 kl_f=0.0119 sps=24.0
[seed 1] upd 96/390 step=49152 ep_ret=2.800 cap=0.00 kl_l=0.0093 kl_f=0.0128 sps=24.0
[seed 1] upd 97/390 step=49664 ep_ret=2.596 cap=0.00 kl_l=0.0087 kl_f=0.0086 sps=24.0
[seed 1] upd 98/390 step=50176 ep_ret=1.552 cap=0.00 kl_l=0.0097 kl_f=0.0135 sps=24.0
[seed 1] upd 99/390 step=50688 ep_ret=2.050 cap=0.00 kl_l=0.0105 kl_f=0.0110 sps=24.0
[seed 1] upd 100/390 step=51200 ep_ret=1.954 cap=0.00 kl_l=0.0082 kl_f=0.0098 sps=24.0
  [eval] return=0.997+-0.001 captured=0.00 wasted=0.00 clean=0.00 DoD_margin=-2.060
[seed 1] upd 101/390 step=51712 ep_ret=2.679 cap=0.00 kl_l=0.0077 kl_f=0.0119 sps=23.9
[seed 1] upd 102/390 step=52224 ep_ret=2.357 cap=0.00 kl_l=0.0109 kl_f=0.0111 sps=23.9
[seed 1] upd 103/390 step=52736 ep_ret=1.608 cap=0.00 kl_l=0.0132 kl_f=0.0103 sps=23.9
[seed 1] upd 104/390 step=53248 ep_ret=2.571 cap=0.00 kl_l=0.0090 kl_f=0.0103 sps=23.9
[seed 1] upd 105/390 step=53760 ep_ret=1.776 cap=0.00 kl_l=0.0080 kl_f=0.0084 sps=23.9
[seed 1] upd 106/390 step=54272 ep_ret=2.572 cap=0.00 kl_l=0.0110 kl_f=0.0127 sps=23.9
[seed 1] upd 107/390 step=54784 ep_ret=2.402 cap=0.00 kl_l=0.0095 kl_f=0.0109 sps=23.9
[seed 1] upd 108/390 step=55296 ep_ret=2.277 cap=0.00 kl_l=0.0102 kl_f=0.0127 sps=23.9
[seed 1] upd 109/390 step=55808 ep_ret=2.505 cap=0.00 kl_l=0.0097 kl_f=0.0121 sps=24.0
[seed 1] upd 110/390 step=56320 ep_ret=2.235 cap=0.00 kl_l=0.0081 kl_f=0.0129 sps=24.0
[seed 1] upd 111/390 step=56832 ep_ret=2.622 cap=0.00 kl_l=0.0099 kl_f=0.0122 sps=24.0
[seed 1] upd 112/390 step=57344 ep_ret=2.454 cap=0.00 kl_l=0.0082 kl_f=0.0127 sps=24.0
[seed 1] upd 113/390 step=57856 ep_ret=2.526 cap=0.00 kl_l=0.0070 kl_f=0.0110 sps=24.0
[seed 1] upd 114/390 step=58368 ep_ret=2.801 cap=0.00 kl_l=0.0079 kl_f=0.0117 sps=24.0
[seed 1] upd 115/390 step=58880 ep_ret=2.351 cap=0.00 kl_l=0.0104 kl_f=0.0129 sps=24.0
[seed 1] upd 116/390 step=59392 ep_ret=2.399 cap=0.00 kl_l=0.0082 kl_f=0.0086 sps=24.0
[seed 1] upd 117/390 step=59904 ep_ret=2.744 cap=0.00 kl_l=0.0089 kl_f=0.0099 sps=24.0
[seed 1] upd 118/390 step=60416 ep_ret=2.899 cap=0.00 kl_l=0.0076 kl_f=0.0117 sps=24.0
[seed 1] upd 119/390 step=60928 ep_ret=2.626 cap=0.00 kl_l=0.0078 kl_f=0.0137 sps=24.1
[seed 1] upd 120/390 step=61440 ep_ret=2.671 cap=0.00 kl_l=0.0099 kl_f=0.0144 sps=24.1
  [eval] return=3.097+-0.300 captured=0.00 wasted=0.00 clean=0.00 DoD_margin=+0.040
[seed 1] upd 121/390 step=61952 ep_ret=3.024 cap=0.00 kl_l=0.0110 kl_f=0.0138 sps=23.9
[seed 1] upd 122/390 step=62464 ep_ret=2.248 cap=0.00 kl_l=0.0071 kl_f=0.0101 sps=23.9
[seed 1] upd 123/390 step=62976 ep_ret=2.000 cap=0.00 kl_l=0.0118 kl_f=0.0130 sps=23.9
[seed 1] upd 124/390 step=63488 ep_ret=2.332 cap=0.00 kl_l=0.0086 kl_f=0.0111 sps=23.9
[seed 1] upd 125/390 step=64000 ep_ret=2.825 cap=0.00 kl_l=0.0092 kl_f=0.0133 sps=24.0
[seed 1] upd 126/390 step=64512 ep_ret=2.972 cap=0.00 kl_l=0.0106 kl_f=0.0116 sps=24.0
[seed 1] upd 127/390 step=65024 ep_ret=3.326 cap=0.00 kl_l=0.0075 kl_f=0.0124 sps=24.0
[seed 1] upd 128/390 step=65536 ep_ret=2.846 cap=0.00 kl_l=0.0049 kl_f=0.0118 sps=24.0
[seed 1] upd 129/390 step=66048 ep_ret=2.649 cap=0.00 kl_l=0.0078 kl_f=0.0112 sps=24.0
[seed 1] upd 130/390 step=66560 ep_ret=3.052 cap=0.00 kl_l=0.0069 kl_f=0.0109 sps=24.0
[seed 1] upd 131/390 step=67072 ep_ret=2.624 cap=0.00 kl_l=0.0074 kl_f=0.0099 sps=24.0
[seed 1] upd 132/390 step=67584 ep_ret=2.400 cap=0.00 kl_l=0.0052 kl_f=0.0120 sps=24.0
[seed 1] upd 133/390 step=68096 ep_ret=1.950 cap=0.00 kl_l=0.0078 kl_f=0.0110 sps=24.0
[seed 1] upd 134/390 step=68608 ep_ret=1.922 cap=0.00 kl_l=0.0056 kl_f=0.0115 sps=24.0
[seed 1] upd 135/390 step=69120 ep_ret=2.823 cap=0.00 kl_l=0.0085 kl_f=0.0101 sps=24.0
[seed 1] upd 136/390 step=69632 ep_ret=3.026 cap=0.00 kl_l=0.0101 kl_f=0.0141 sps=24.1
[seed 1] upd 137/390 step=70144 ep_ret=3.025 cap=0.00 kl_l=0.0063 kl_f=0.0093 sps=24.1
[seed 1] upd 138/390 step=70656 ep_ret=2.572 cap=0.00 kl_l=0.0068 kl_f=0.0095 sps=24.1
[seed 1] upd 139/390 step=71168 ep_ret=3.052 cap=0.00 kl_l=0.0061 kl_f=0.0102 sps=24.1
[seed 1] upd 140/390 step=71680 ep_ret=2.633 cap=0.00 kl_l=0.0100 kl_f=0.0097 sps=24.1
  [eval] return=1.998+-0.001 captured=0.00 wasted=0.00 clean=0.00 DoD_margin=-1.059
[seed 1] upd 141/390 step=72192 ep_ret=2.859 cap=0.00 kl_l=0.0115 kl_f=0.0123 sps=23.9
[seed 1] upd 142/390 step=72704 ep_ret=3.098 cap=0.00 kl_l=0.0113 kl_f=0.0122 sps=24.0
[seed 1] upd 143/390 step=73216 ep_ret=2.646 cap=0.00 kl_l=0.0088 kl_f=0.0141 sps=24.0
[seed 1] upd 144/390 step=73728 ep_ret=3.175 cap=0.00 kl_l=0.0068 kl_f=0.0095 sps=24.0
[seed 1] upd 145/390 step=74240 ep_ret=2.401 cap=0.00 kl_l=0.0044 kl_f=0.0107 sps=24.0
[seed 1] upd 146/390 step=74752 ep_ret=2.050 cap=0.00 kl_l=0.0042 kl_f=0.0117 sps=24.0
[seed 1] upd 147/390 step=75264 ep_ret=2.676 cap=0.00 kl_l=0.0067 kl_f=0.0098 sps=24.0
[seed 1] upd 148/390 step=75776 ep_ret=3.329 cap=0.00 kl_l=0.0076 kl_f=0.0122 sps=24.0
