cell chi 0.8 kappa 0.5 N 4 eps 20..39:
  ep 20: engaged-seen 18, AMB so far 11
  ep 21: engaged-seen 31, AMB so far 17
  ep 22: engaged-seen 49, AMB so far 27
  ep 23: engaged-seen 91, AMB so far 39
  ep 24: engaged-seen 131, AMB so far 49
  ep 25: engaged-seen 144, AMB so far 56
  ep 26: engaged-seen 158, AMB so far 63
  ep 27: engaged-seen 202, AMB so far 76
  ep 28: engaged-seen 214, AMB so far 81
  ep 29: engaged-seen 244, AMB so far 96
  ep 30: engaged-seen 263, AMB so far 108
  ep 31: engaged-seen 276, AMB so far 112
  ep 32: engaged-seen 290, AMB so far 119
  ep 33: engaged-seen 308, AMB so far 130
  ep 34: engaged-seen 327, AMB so far 138
  ep 35: engaged-seen 344, AMB so far 147
  ep 36: engaged-seen 362, AMB so far 157
  ep 37: engaged-seen 373, AMB so far 161
  ep 38: engaged-seen 391, AMB so far 169
  ep 39: engaged-seen 409, AMB so far 177
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.90/0.98/1.00 | U4 med 0.2941 U1 med 0.2941 dU med 0.0
cell chi 0.8 kappa 0.8 N 4 eps 20..39:
  ep 20: engaged-seen 18, AMB so far 11
  ep 21: engaged-seen 31, AMB so far 17
  ep 22: engaged-seen 49, AMB so far 27
  ep 23: engaged-seen 91, AMB so far 42
  ep 24: engaged-seen 131, AMB so far 52
  ep 25: engaged-seen 144, AMB so far 59
  ep 26: engaged-seen 158, AMB so far 66
  ep 27: engaged-seen 202, AMB so far 80
  ep 28: engaged-seen 214, AMB so far 85
  ep 29: engaged-seen 244, AMB so far 100
  ep 30: engaged-seen 263, AMB so far 112
  ep 31: engaged-seen 276, AMB so far 116
  ep 32: engaged-seen 290, AMB so far 122
  ep 33: engaged-seen 308, AMB so far 133
  ep 34: engaged-seen 327, AMB so far 141
  ep 35: engaged-seen 344, AMB so far 151
  ep 36: engaged-seen 362, AMB so far 161
  ep 37: engaged-seen 373, AMB so far 165
  ep 38: engaged-seen 391, AMB so far 173
  ep 39: engaged-seen 409, AMB so far 181
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.85/0.98/1.00 | U4 med 0.3804 U1 med 0.3804 dU med 0.0
cell chi 0.8 kappa 1.1 N 4 eps 20..39:
  ep 20: engaged-seen 18, AMB so far 11
  ep 21: engaged-seen 31, AMB so far 17
  ep 22: engaged-seen 49, AMB so far 27
  ep 23: engaged-seen 91, AMB so far 44
  ep 24: engaged-seen 131, AMB so far 54
  ep 25: engaged-seen 144, AMB so far 61
  ep 26: engaged-seen 158, AMB so far 68
  ep 27: engaged-seen 202, AMB so far 83
  ep 28: engaged-seen 214, AMB so far 89
  ep 29: engaged-seen 244, AMB so far 104
  ep 30: engaged-seen 263, AMB so far 116
  ep 31: engaged-seen 276, AMB so far 120
  ep 32: engaged-seen 290, AMB so far 126
  ep 33: engaged-seen 308, AMB so far 137
  ep 34: engaged-seen 327, AMB so far 145
  ep 35: engaged-seen 344, AMB so far 155
  ep 36: engaged-seen 362, AMB so far 165
  ep 37: engaged-seen 373, AMB so far 169
  ep 38: engaged-seen 391, AMB so far 177
  ep 39: engaged-seen 409, AMB so far 185
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.68/0.89/0.93 | U4 med 0.4631 U1 med 0.4631 dU med 0.0
cell chi 1.2 kappa 0.2 N 4 eps 20..39:
  ep 20: engaged-seen 18, AMB so far 13
  ep 21: engaged-seen 77, AMB so far 27
  ep 22: engaged-seen 95, AMB so far 38
  ep 23: engaged-seen 129, AMB so far 48
  ep 24: engaged-seen 165, AMB so far 64
  ep 25: engaged-seen 179, AMB so far 71
  ep 26: engaged-seen 195, AMB so far 80
  ep 27: engaged-seen 230, AMB so far 86
  ep 28: engaged-seen 265, AMB so far 97
  ep 29: engaged-seen 295, AMB so far 115
  ep 30: engaged-seen 328, AMB so far 129
  ep 31: engaged-seen 365, AMB so far 140
  ep 32: engaged-seen 403, AMB so far 148
  ep 33: engaged-seen 423, AMB so far 161
  ep 34: engaged-seen 444, AMB so far 171
  ep 35: engaged-seen 462, AMB so far 183
  ep 36: engaged-seen 482, AMB so far 194
  ep 37: engaged-seen 542, AMB so far 209
  ep 38: engaged-seen 562, AMB so far 218
  ep 39: engaged-seen 582, AMB so far 228
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.97/1.00/1.00 | U4 med 0.2346 U1 med 0.2346 dU med 0.0
cell chi 1.2 kappa 0.5 N 4 eps 20..39:
  ep 20: engaged-seen 18, AMB so far 14
  ep 21: engaged-seen 77, AMB so far 28
  ep 22: engaged-seen 95, AMB so far 39
  ep 23: engaged-seen 129, AMB so far 49
  ep 24: engaged-seen 165, AMB so far 66
  ep 25: engaged-seen 179, AMB so far 73
  ep 26: engaged-seen 195, AMB so far 82
  ep 27: engaged-seen 230, AMB so far 88
  ep 28: engaged-seen 265, AMB so far 100
  ep 29: engaged-seen 295, AMB so far 119
  ep 30: engaged-seen 328, AMB so far 133
  ep 31: engaged-seen 365, AMB so far 145
  ep 32: engaged-seen 403, AMB so far 154
  ep 33: engaged-seen 423, AMB so far 167
  ep 34: engaged-seen 444, AMB so far 177
  ep 35: engaged-seen 462, AMB so far 189
  ep 36: engaged-seen 482, AMB so far 200
  ep 37: engaged-seen 542, AMB so far 215
  ep 38: engaged-seen 562, AMB so far 224
  ep 39: engaged-seen 582, AMB so far 234
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.91/1.00/1.00 | U4 med 0.2071 U1 med 0.2071 dU med 0.0
-> results/phase3/gate7_full_5_10.json
