cell chi 1.6 kappa 1.1 N 4 eps 20..39:
  ep 20: engaged-seen 20, AMB so far 15
  ep 21: engaged-seen 55, AMB so far 27
  ep 22: engaged-seen 75, AMB so far 40
  ep 23: engaged-seen 109, AMB so far 52
  ep 24: engaged-seen 145, AMB so far 70
  ep 25: engaged-seen 160, AMB so far 79
  ep 26: engaged-seen 176, AMB so far 90
  ep 27: engaged-seen 208, AMB so far 97
  ep 28: engaged-seen 243, AMB so far 105
  ep 29: engaged-seen 278, AMB so far 126
  ep 30: engaged-seen 312, AMB so far 142
  ep 31: engaged-seen 375, AMB so far 153
  ep 32: engaged-seen 391, AMB so far 162
  ep 33: engaged-seen 414, AMB so far 175
  ep 34: engaged-seen 436, AMB so far 191
  ep 35: engaged-seen 456, AMB so far 204
  ep 36: engaged-seen 495, AMB so far 220
  ep 37: engaged-seen 528, AMB so far 233
  ep 38: engaged-seen 560, AMB so far 243
  ep 39: engaged-seen 582, AMB so far 253
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.79/0.93/0.98 | U4 med 0.1022 U1 med 0.1022 dU med 0.0
cell chi 2.0 kappa 0.2 N 4 eps 20..39:
  ep 20: engaged-seen 21, AMB so far 16
  ep 21: engaged-seen 54, AMB so far 24
  ep 22: engaged-seen 74, AMB so far 37
  ep 23: engaged-seen 108, AMB so far 52
  ep 24: engaged-seen 144, AMB so far 69
  ep 25: engaged-seen 159, AMB so far 79
  ep 26: engaged-seen 177, AMB so far 90
  ep 27: engaged-seen 209, AMB so far 99
  ep 28: engaged-seen 238, AMB so far 105
  ep 29: engaged-seen 284, AMB so far 127
  ep 30: engaged-seen 324, AMB so far 144
  ep 31: engaged-seen 358, AMB so far 154
  ep 32: engaged-seen 376, AMB so far 162
  ep 33: engaged-seen 416, AMB so far 174
  ep 34: engaged-seen 441, AMB so far 190
  ep 35: engaged-seen 463, AMB so far 204
  ep 36: engaged-seen 504, AMB so far 214
  ep 37: engaged-seen 538, AMB so far 225
  ep 38: engaged-seen 569, AMB so far 241
  ep 39: engaged-seen 599, AMB so far 257
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.97/1.00/1.00 | U4 med 0.0775 U1 med 0.0775 dU med 0.0
cell chi 2.0 kappa 0.5 N 4 eps 20..39:
  ep 20: engaged-seen 21, AMB so far 16
  ep 21: engaged-seen 64, AMB so far 25
  ep 22: engaged-seen 84, AMB so far 38
  ep 23: engaged-seen 118, AMB so far 54
  ep 24: engaged-seen 154, AMB so far 71
  ep 25: engaged-seen 169, AMB so far 81
  ep 26: engaged-seen 187, AMB so far 92
  ep 27: engaged-seen 219, AMB so far 101
  ep 28: engaged-seen 248, AMB so far 107
  ep 29: engaged-seen 294, AMB so far 130
  ep 30: engaged-seen 334, AMB so far 148
  ep 31: engaged-seen 368, AMB so far 158
  ep 32: engaged-seen 386, AMB so far 166
  ep 33: engaged-seen 427, AMB so far 178
  ep 34: engaged-seen 452, AMB so far 194
  ep 35: engaged-seen 474, AMB so far 208
  ep 36: engaged-seen 515, AMB so far 221
  ep 37: engaged-seen 549, AMB so far 232
  ep 38: engaged-seen 580, AMB so far 248
  ep 39: engaged-seen 610, AMB so far 264
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.94/1.00/1.00 | U4 med 0.0805 U1 med 0.0805 dU med 0.0
cell chi 2.0 kappa 0.8 N 4 eps 20..39:
  ep 20: engaged-seen 21, AMB so far 17
  ep 21: engaged-seen 64, AMB so far 27
  ep 22: engaged-seen 84, AMB so far 40
  ep 23: engaged-seen 118, AMB so far 57
  ep 24: engaged-seen 154, AMB so far 75
  ep 25: engaged-seen 169, AMB so far 85
  ep 26: engaged-seen 187, AMB so far 96
  ep 27: engaged-seen 219, AMB so far 105
  ep 28: engaged-seen 248, AMB so far 112
  ep 29: engaged-seen 294, AMB so far 136
  ep 30: engaged-seen 334, AMB so far 155
  ep 31: engaged-seen 368, AMB so far 166
  ep 32: engaged-seen 386, AMB so far 174
  ep 33: engaged-seen 426, AMB so far 189
  ep 34: engaged-seen 451, AMB so far 205
  ep 35: engaged-seen 473, AMB so far 220
  ep 36: engaged-seen 514, AMB so far 234
  ep 37: engaged-seen 548, AMB so far 246
  ep 38: engaged-seen 579, AMB so far 262
  ep 39: engaged-seen 609, AMB so far 278
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.84/0.98/1.00 | U4 med 0.0676 U1 med 0.0676 dU med 0.0
cell chi 2.0 kappa 1.1 N 4 eps 20..39:
  ep 20: engaged-seen 21, AMB so far 18
  ep 21: engaged-seen 64, AMB so far 29
  ep 22: engaged-seen 84, AMB so far 43
  ep 23: engaged-seen 118, AMB so far 61
  ep 24: engaged-seen 154, AMB so far 81
  ep 25: engaged-seen 169, AMB so far 91
  ep 26: engaged-seen 187, AMB so far 102
  ep 27: engaged-seen 219, AMB so far 111
  ep 28: engaged-seen 248, AMB so far 119
  ep 29: engaged-seen 294, AMB so far 145
  ep 30: engaged-seen 334, AMB so far 166
  ep 31: engaged-seen 368, AMB so far 177
  ep 32: engaged-seen 386, AMB so far 185
  ep 33: engaged-seen 426, AMB so far 202
  ep 34: engaged-seen 451, AMB so far 218
  ep 35: engaged-seen 473, AMB so far 233
  ep 36: engaged-seen 514, AMB so far 248
  ep 37: engaged-seen 548, AMB so far 260
  ep 38: engaged-seen 579, AMB so far 276
  ep 39: engaged-seen 610, AMB so far 291
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.75/0.95/0.99 | U4 med 0.0671 U1 med 0.0671 dU med 0.0
-> results/phase3/gate7_full_15_20.json
