cell chi 1.2 kappa 0.8 N 4 eps 20..39:
  ep 20: engaged-seen 18, AMB so far 14
  ep 21: engaged-seen 77, AMB so far 30
  ep 22: engaged-seen 95, AMB so far 41
  ep 23: engaged-seen 129, AMB so far 51
  ep 24: engaged-seen 165, AMB so far 70
  ep 25: engaged-seen 179, AMB so far 77
  ep 26: engaged-seen 195, AMB so far 86
  ep 27: engaged-seen 230, AMB so far 93
  ep 28: engaged-seen 265, AMB so far 105
  ep 29: engaged-seen 295, AMB so far 125
  ep 30: engaged-seen 328, AMB so far 139
  ep 31: engaged-seen 365, AMB so far 151
  ep 32: engaged-seen 402, AMB so far 161
  ep 33: engaged-seen 422, AMB so far 174
  ep 34: engaged-seen 443, AMB so far 184
  ep 35: engaged-seen 461, AMB so far 196
  ep 36: engaged-seen 481, AMB so far 208
  ep 37: engaged-seen 541, AMB so far 223
  ep 38: engaged-seen 561, AMB so far 232
  ep 39: engaged-seen 581, AMB so far 242
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.82/0.96/1.00 | U4 med 0.2141 U1 med 0.2141 dU med 0.0
cell chi 1.2 kappa 1.1 N 4 eps 20..39:
  ep 20: engaged-seen 18, AMB so far 14
  ep 21: engaged-seen 77, AMB so far 31
  ep 22: engaged-seen 95, AMB so far 42
  ep 23: engaged-seen 129, AMB so far 52
  ep 24: engaged-seen 165, AMB so far 72
  ep 25: engaged-seen 179, AMB so far 79
  ep 26: engaged-seen 195, AMB so far 88
  ep 27: engaged-seen 230, AMB so far 96
  ep 28: engaged-seen 243, AMB so far 101
  ep 29: engaged-seen 273, AMB so far 123
  ep 30: engaged-seen 306, AMB so far 136
  ep 31: engaged-seen 343, AMB so far 149
  ep 32: engaged-seen 380, AMB so far 159
  ep 33: engaged-seen 400, AMB so far 172
  ep 34: engaged-seen 421, AMB so far 182
  ep 35: engaged-seen 439, AMB so far 194
  ep 36: engaged-seen 459, AMB so far 206
  ep 37: engaged-seen 490, AMB so far 217
  ep 38: engaged-seen 510, AMB so far 226
  ep 39: engaged-seen 530, AMB so far 235
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.76/0.89/0.98 | U4 med 0.2079 U1 med 0.2079 dU med 0.0
cell chi 1.6 kappa 0.2 N 4 eps 20..39:
  ep 20: engaged-seen 20, AMB so far 14
  ep 21: engaged-seen 55, AMB so far 24
  ep 22: engaged-seen 75, AMB so far 37
  ep 23: engaged-seen 109, AMB so far 49
  ep 24: engaged-seen 145, AMB so far 64
  ep 25: engaged-seen 160, AMB so far 73
  ep 26: engaged-seen 176, AMB so far 84
  ep 27: engaged-seen 208, AMB so far 91
  ep 28: engaged-seen 243, AMB so far 97
  ep 29: engaged-seen 278, AMB so far 115
  ep 30: engaged-seen 312, AMB so far 129
  ep 31: engaged-seen 361, AMB so far 136
  ep 32: engaged-seen 377, AMB so far 145
  ep 33: engaged-seen 400, AMB so far 158
  ep 34: engaged-seen 422, AMB so far 173
  ep 35: engaged-seen 442, AMB so far 186
  ep 36: engaged-seen 481, AMB so far 198
  ep 37: engaged-seen 514, AMB so far 210
  ep 38: engaged-seen 538, AMB so far 220
  ep 39: engaged-seen 560, AMB so far 230
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.96/1.00/1.00 | U4 med 0.1162 U1 med 0.1162 dU med 0.0
cell chi 1.6 kappa 0.5 N 4 eps 20..39:
  ep 20: engaged-seen 20, AMB so far 15
  ep 21: engaged-seen 55, AMB so far 26
  ep 22: engaged-seen 75, AMB so far 39
  ep 23: engaged-seen 109, AMB so far 51
  ep 24: engaged-seen 145, AMB so far 67
  ep 25: engaged-seen 160, AMB so far 76
  ep 26: engaged-seen 176, AMB so far 87
  ep 27: engaged-seen 208, AMB so far 94
  ep 28: engaged-seen 243, AMB so far 101
  ep 29: engaged-seen 278, AMB so far 120
  ep 30: engaged-seen 312, AMB so far 135
  ep 31: engaged-seen 361, AMB so far 143
  ep 32: engaged-seen 377, AMB so far 152
  ep 33: engaged-seen 400, AMB so far 165
  ep 34: engaged-seen 422, AMB so far 180
  ep 35: engaged-seen 442, AMB so far 193
  ep 36: engaged-seen 481, AMB so far 205
  ep 37: engaged-seen 514, AMB so far 217
  ep 38: engaged-seen 538, AMB so far 227
  ep 39: engaged-seen 560, AMB so far 237
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.94/1.00/1.00 | U4 med 0.12 U1 med 0.12 dU med 0.0
cell chi 1.6 kappa 0.8 N 4 eps 20..39:
  ep 20: engaged-seen 20, AMB so far 15
  ep 21: engaged-seen 55, AMB so far 26
  ep 22: engaged-seen 75, AMB so far 39
  ep 23: engaged-seen 109, AMB so far 51
  ep 24: engaged-seen 145, AMB so far 68
  ep 25: engaged-seen 160, AMB so far 77
  ep 26: engaged-seen 176, AMB so far 88
  ep 27: engaged-seen 208, AMB so far 95
  ep 28: engaged-seen 243, AMB so far 102
  ep 29: engaged-seen 278, AMB so far 122
  ep 30: engaged-seen 312, AMB so far 137
  ep 31: engaged-seen 375, AMB so far 146
  ep 32: engaged-seen 391, AMB so far 155
  ep 33: engaged-seen 414, AMB so far 168
  ep 34: engaged-seen 436, AMB so far 184
  ep 35: engaged-seen 456, AMB so far 197
  ep 36: engaged-seen 495, AMB so far 211
  ep 37: engaged-seen 528, AMB so far 224
  ep 38: engaged-seen 552, AMB so far 234
  ep 39: engaged-seen 574, AMB so far 244
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.85/0.97/1.00 | U4 med 0.0931 U1 med 0.0931 dU med 0.0
-> results/phase3/gate7_full_10_15.json
